数据库：分省年度数据 
时间： 
地区	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
北京市	,	,	,16887033	,15854348	,15325981	,15085043	,14794780	,13525400	,12512746	,11934724	,
天津市	,	,	,7318083	,6565887	,6664572	,6031844	,6270839	,6351712	,5850624	,5365129	,
河北省	,	,	,25367980	,24395755	,21927812	,21282804	,19921191	,17389625	,15938479	,14203834	,
山西省	,	,	,12916747	,12125465	,11140175	,10071575	,9857999	,9134205	,8533662	,7942196	,
内蒙古自治区	,	,	,10467249	,9230537	,8595861	,8510492	,8105720	,7759014	,7601337	,7624806	,
辽宁省	,	,	,12114811	,11674506	,11110019	,10988599	,10593957	,9759379	,9651893	,9206907	,
吉林省	,	,	,8353251	,7484068	,7092031	,7204781	,6777422	,6866495	,6586685	,6439837	,
黑龙江省	,	,	,9269874	,8806510	,8440981	,8422728	,8115856	,7612173	,7545432	,7336607	,
上海市	,	,	,18965123	,16916927	,15764758	,14427631	,14125408	,13412840	,12104556	,11218946	,
江苏省	,	,	,40067881	,38820349	,37333811	,33717331	,31093313	,28276374	,25960645	,24020855	,
浙江省	,	,	,36255916	,34440066	,31651797	,28846115	,27343770	,24009012	,21327866	,18908104	,
安徽省	,	,	,21962814	,20532087	,18979388	,17478565	,16375812	,15011779	,13751567	,12357931	,
福建省	,	,	,18398226	,17625677	,15320230	,14160989	,13429131	,12547951	,11390975	,10473975	,
江西省	,	,	,20001350	,18915971	,16514212	,15772884	,14535470	,13152969	,11717849	,10468837	,
山东省	,	,	,38743146	,37144368	,34007897	,31022594	,29001760	,26349273	,23946021	,22422970	,
河南省	,	,	,31238850	,29695708	,27674810	,28022275	,26685217	,24293502	,21546749	,18902582	,
湖北省	,	,	,20918556	,19405534	,17932016	,16783125	,16067052	,14578340	,13821834	,13009264	,
湖南省	,	,	,23299431	,22100519	,20038528	,18852587	,17753672	,16300603	,15165690	,13781959	,
广东省	,	,	,64768517	,61902003	,60188062	,53869558	,49187551	,42684258	,38610331	,33675376	,
广西壮族自治区	,	,	,18018290	,17038772	,16448664	,15418302	,14367736	,12836618	,11891781	,10914241	,
海南省	,	,	,5753141	,4833662	,4648209	,4632077	,4243935	,3777479	,3390271	,3068767	,
重庆市	,	,	,14137281	,13146996	,12761688	,11823943	,11442967	,10216274	,9483526	,8863208	,
四川省	,	,	,30262588	,28294459	,25912560	,24660021	,22547121	,20767987	,19274514	,17620946	,
贵州省	,	,	,16696205	,15801330	,15080783	,14479368	,13622935	,12732768	,12488005	,10335342	,
云南省	,	,	,17611566	,17068501	,16694079	,16571342	,14833632	,14543783	,13292088	,11886446	,
西藏自治区	,	,	,3934233	,3643259	,3335508	,3164861	,2881230	,2562958	,2387658	,1857714	,
陕西省	,	,	,15971210	,14954384	,14151375	,13169806	,12490355	,11375081	,10545862	,10049114	,
甘肃省	,	,	,9719100	,9055895	,8498438	,8440554	,7998741	,7404892	,7087547	,6706137	,
青海省	,	,	,3238552	,3085235	,3066904	,2931351	,2894894	,2640309	,2343469	,2162973	,
宁夏回族自治区	,	,	,3330184	,3332220	,2838672	,2791933	,2532754	,2346978	,2288400	,2072544	,
新疆维吾尔自治区	,	,	,12772583	,11612882	,11146119	,11029496	,10214911	,9522617	,8462090	,7823914	,
注：1. “事业收入”数据1992-1997年仅包含学费，“其他教育经费”数据1992-1997年包含扣除“学费”后的事业收入。
2. “民办学校中举办者投入”1993-2006年数据为社会团体和公民个人办学总经费。
数据来源：国家统计局
