数据库：分省年度数据 
时间： 
地区	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
北京市	,	,17.71	,17.29	,16.26	,15.98	,15.47	,15.22	,15.20	,15.05	,15.12	,
天津市	,	,16.55	,16.48	,16.14	,15.85	,16.32	,14.89	,14.21	,13.87	,13.90	,
河北省	,	,53.25	,52.44	,50.22	,48.28	,47.43	,46.09	,38.65	,36.51	,35.79	,
山西省	,	,23.90	,23.94	,26.87	,25.81	,23.57	,22.94	,20.15	,20.33	,20.37	,
内蒙古自治区	,	,15.45	,14.17	,14.58	,14.49	,13.43	,13.24	,12.22	,12.21	,12.19	,
辽宁省	,	,31.56	,31.33	,29.50	,29.01	,34.16	,33.11	,25.60	,24.98	,25.57	,
吉林省	,	,21.52	,21.21	,22.27	,20.63	,18.91	,20.39	,17.55	,17.12	,17.32	,
黑龙江省	,	,25.79	,26.06	,25.73	,23.90	,23.13	,23.87	,19.79	,19.52	,19.78	,
上海市	,	,15.22	,15.27	,14.04	,14.70	,14.24	,13.98	,13.58	,13.56	,13.75	,
江苏省	,	,62.88	,63.19	,60.99	,60.99	,59.32	,52.28	,47.87	,45.66	,45.27	,
浙江省	,	,33.22	,32.86	,32.54	,34.75	,30.90	,30.06	,26.80	,25.56	,25.79	,
安徽省	,	,42.24	,42.10	,40.22	,44.02	,41.25	,40.08	,30.70	,30.72	,30.74	,
福建省	,	,30.96	,31.48	,30.00	,29.39	,27.99	,28.12	,22.17	,20.00	,19.77	,
江西省	,	,46.01	,45.04	,44.06	,38.71	,37.57	,35.94	,29.63	,28.85	,29.60	,
山东省	,	,77.53	,74.85	,70.04	,71.11	,62.55	,66.31	,55.37	,54.85	,55.52	,
河南省	,	,89.00	,84.68	,80.04	,82.37	,71.85	,69.67	,62.22	,56.94	,55.01	,
湖北省	,	,53.86	,52.23	,49.78	,47.09	,46.41	,43.54	,40.68	,39.41	,39.07	,
湖南省	,	,54.94	,53.12	,51.57	,47.46	,44.87	,42.32	,38.16	,35.79	,34.94	,
广东省	,	,78.28	,73.94	,71.57	,69.43	,86.61	,61.63	,57.33	,55.84	,53.98	,
广西壮族自治区	,	,43.21	,42.27	,41.78	,40.39	,35.40	,35.98	,28.29	,26.69	,24.84	,
海南省	,	,7.66	,7.72	,7.28	,6.63	,6.87	,6.86	,5.45	,5.22	,5.32	,
重庆市	,	,30.17	,28.30	,29.55	,29.68	,27.39	,27.14	,21.37	,20.95	,20.49	,
四川省	,	,63.33	,60.67	,60.61	,56.04	,53.81	,49.48	,45.35	,43.30	,41.47	,
贵州省	,	,25.97	,25.95	,26.13	,25.52	,26.02	,25.10	,21.72	,19.97	,18.70	,
云南省	,	,29.27	,29.27	,28.71	,31.97	,26.83	,24.34	,21.01	,20.21	,17.99	,
西藏自治区	,	,1.17	,1.14	,1.17	,1.08	,1.16	,1.06	,0.95	,0.97	,1.01	,
陕西省	,	,35.15	,33.98	,33.14	,35.10	,35.80	,35.10	,28.30	,28.47	,28.36	,
甘肃省	,	,16.07	,16.23	,15.02	,16.83	,16.94	,15.72	,13.69	,13.15	,12.58	,
青海省	,	,2.52	,2.46	,2.41	,2.35	,2.06	,2.14	,2.05	,1.96	,1.91	,
宁夏回族自治区	,	,5.11	,4.44	,4.63	,4.86	,4.57	,4.30	,3.50	,3.47	,3.24	,
新疆维吾尔自治区	,	,19.39	,18.08	,17.69	,16.91	,14.64	,13.96	,11.43	,10.37	,9.22	,
数据来源：国家统计局
