数据库：分省年度数据 
时间： 
地区	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
北京市	,	,66.54	,64.45	,62.66	,61.70	,60.89	,60.15	,59.49	,59.29	,59.92	,
天津市	,	,60.54	,59.66	,59.45	,58.34	,57.22	,53.94	,52.33	,51.47	,51.38	,
河北省	,	,190.23	,183.98	,177.37	,170.43	,160.48	,147.40	,134.26	,126.89	,121.61	,
山西省	,	,96.75	,96.29	,94.57	,89.08	,84.20	,80.20	,76.56	,76.30	,75.63	,
内蒙古自治区	,	,55.27	,54.01	,53.45	,50.68	,48.66	,47.20	,45.53	,44.81	,43.67	,
辽宁省	,	,118.72	,115.35	,118.02	,117.84	,114.08	,104.11	,96.32	,98.10	,99.87	,
吉林省	,	,83.71	,82.15	,78.87	,75.56	,72.70	,70.01	,65.83	,64.39	,64.23	,
黑龙江省	,	,94.90	,93.53	,91.20	,87.91	,82.56	,77.82	,73.21	,73.42	,73.59	,
上海市	,	,58.73	,57.24	,55.48	,54.87	,54.07	,52.66	,51.78	,51.49	,51.47	,
江苏省	,	,238.34	,229.90	,221.91	,211.08	,201.47	,187.41	,180.63	,176.79	,174.58	,
浙江省	,	,131.81	,129.15	,125.33	,121.03	,114.87	,107.47	,101.94	,100.23	,99.61	,
安徽省	,	,156.63	,157.96	,155.35	,150.50	,136.85	,124.12	,113.91	,114.74	,114.50	,
福建省	,	,116.89	,113.99	,107.61	,102.34	,94.72	,86.12	,77.24	,75.10	,75.64	,
江西省	,	,162.26	,154.63	,146.44	,134.87	,124.20	,113.50	,105.44	,104.83	,103.90	,
山东省	,	,280.04	,267.25	,252.71	,242.99	,229.15	,218.39	,204.08	,201.53	,199.59	,
河南省	,	,309.64	,295.62	,282.33	,268.64	,249.22	,231.97	,214.08	,200.47	,187.48	,
湖北省	,	,191.52	,183.99	,177.26	,169.97	,161.69	,150.08	,143.82	,140.09	,140.18	,
湖南省	,	,187.83	,177.80	,168.51	,159.61	,151.03	,140.71	,132.68	,127.32	,122.50	,
广东省	,	,268.76	,260.14	,267.09	,253.98	,240.02	,205.40	,196.32	,192.58	,189.29	,
广西壮族自治区	,	,151.55	,148.32	,140.75	,132.10	,118.42	,107.64	,94.22	,86.67	,81.03	,
海南省	,	,28.76	,27.26	,25.81	,24.51	,23.01	,20.74	,18.92	,18.55	,18.49	,
重庆市	,	,112.79	,110.02	,106.61	,100.27	,91.56	,83.49	,76.28	,74.69	,73.25	,
四川省	,	,226.77	,216.41	,205.15	,192.08	,180.09	,166.17	,156.47	,149.97	,144.66	,
贵州省	,	,91.12	,90.72	,89.47	,88.16	,84.02	,76.57	,68.75	,62.77	,57.39	,
云南省	,	,114.96	,113.71	,110.03	,104.41	,96.42	,86.40	,76.47	,70.59	,65.66	,
西藏自治区	,	,4.39	,4.31	,4.25	,4.13	,3.86	,3.62	,3.57	,3.56	,3.50	,
陕西省	,	,132.38	,131.62	,130.44	,128.33	,121.00	,112.20	,105.48	,106.94	,107.63	,
甘肃省	,	,66.82	,66.25	,64.81	,61.34	,58.11	,52.49	,48.36	,46.62	,45.72	,
青海省	,	,8.66	,8.28	,8.09	,7.71	,7.41	,7.32	,7.03	,6.70	,6.19	,
宁夏回族自治区	,	,18.34	,17.73	,17.25	,16.11	,14.67	,13.52	,12.53	,12.11	,11.71	,
新疆维吾尔自治区	,	,65.63	,63.30	,61.14	,55.56	,48.67	,42.70	,37.49	,34.60	,31.99	,
数据来源：国家统计局
