数据库：年度数据 
时间：2011年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,2015年	,2014年	,2013年	,2012年	,2011年	,
研究生在校学生数 (万人) 	,430.0000	,409.5436	,388.2940	,365.3613	,333.2373	,313.9598	,286.3712	,273.1257	,263.9561	,198.1051	,191.1406	,184.7689	,179.3953	,171.9818	,164.5845	,
博士在校学生数 (万人) 	,	,67.6262	,61.2489	,55.6065	,50.9453	,46.6549	,42.4182	,38.9518	,36.1997	,34.2027	,32.6687	,31.2676	,29.8283	,28.3810	,27.1261	,
硕士在校学生数 (万人) 	,	,341.9174	,327.0451	,309.7548	,282.2920	,267.3049	,243.9530	,234.1739	,227.7564	,163.9024	,158.4719	,153.5013	,149.5670	,143.6008	,137.4584	,
普通、职业本专科在校学生数 (万人) 	,3953.9607	,3891.2568	,3775.0146	,3659.4175	,3496.1307	,3285.2948	,3031.5262	,2831.0348	,2753.6000	,2695.8000	,2625.3000	,2547.7000	,2468.1000	,2391.3000	,2308.5000	,
普通本科在校学生数 (万人) 	,	,2085.9138	,2034.6933	,1965.6436	,1893.1044	,1825.7460	,1750.8204	,1697.3343	,1648.6320	,1612.9535	,1576.6848	,1541.0653	,1494.4353	,1427.0888	,1349.6577	,
专科在校学生数 (万人) 	,	,1764.6595	,1707.8521	,1670.8999	,1590.0966	,1459.5488	,1280.7058	,1133.7000	,1105.0000	,1082.9000	,1048.6000	,1006.6000	,973.6000	,964.2000	,958.9000	,
成人本专科在校学生数 (万人) 	,	,942.5958	,1008.2275	,933.6481	,832.6521	,777.2942	,668.5603	,590.9878	,544.1429	,584.3883	,635.9352	,653.1212	,626.4145	,583.1123	,547.4962	,
成人本科在校学生数 (万人) 	,	,596.8002	,600.0262	,527.7598	,459.1098	,405.1025	,341.3174	,297.1134	,258.9809	,268.6619	,279.3354	,279.7917	,265.4596	,247.5495	,233.6132	,
成人专科在校学生数 (万人) 	,	,345.7956	,408.2013	,405.8883	,373.5423	,372.1917	,327.2429	,293.8744	,285.1620	,315.7264	,356.5998	,373.3295	,360.9549	,335.5628	,313.8830	,
在职人员攻读博士、硕士学位在校学生数 (万人) 	,	,	,	,	,	,	,	,	,	,	,	,59.6086	,55.8730	,48.9857	,46.1693	,
网络本专科生在校学生数 (万人) 	,	,600.2718	,739.9703	,844.6500	,873.9006	,846.4464	,857.8345	,825.6553	,735.9267	,644.9329	,628.4671	,631.4472	,614.6406	,570.4112	,492.4833	,
网络本科在校学生数 (万人) 	,	,223.7865	,289.0562	,341.9642	,332.8548	,311.1899	,294.1610	,282.5757	,258.7338	,233.9270	,229.4807	,228.7010	,217.5100	,200.2698	,175.4760	,
网络专科在校学生数 (万人) 	,	,376.4853	,450.9141	,502.6858	,541.0458	,535.2565	,563.6735	,543.0796	,477.1929	,411.0059	,398.9864	,402.7462	,397.1306	,370.1414	,317.0073	,
中等教育在校学生数 (万人) 	,	,	,	,	,	,9082.0113	,8832.3364	,8602.7102	,8425.7502	,8327.4403	,8383.3441	,8601.5438	,8858.2754	,9421.4196	,9807.8540	,
高中阶段教育在校学生数 (万人) 	,	,4151.6079	,4102.0889	,4089.1128	,3976.4220	,4163.0230	,3994.9000	,3934.6687	,3970.9871	,3970.0588	,4037.6929	,4170.6510	,4369.9228	,4595.2782	,4686.6060	,
高中在校学生数 (万人) 	,	,	,	,	,	,2499.6545	,2418.4287	,2379.4053	,2378.4903	,2371.0461	,2380.9905	,2415.3687	,2446.9522	,2481.5911	,2481.2760	,
普通高中在校学生数 (万人) 	,3039.4966	,2922.2814	,2803.6268	,2713.8747	,2605.0291	,2494.4529	,2414.3050	,2375.3709	,2374.5000	,2366.6000	,2374.4000	,2400.5000	,2435.9000	,2467.2000	,2454.8000	,
完全中学高中阶段在校学生数 (万人) 	,	,859.54	,829.75	,810.69	,796.54	,758.35	,733.54	,724.62	,732.21	,734.13	,742.40	,757.67	,791.43	,827.89	,839.18	,
高级中学在校学生数 (万人) 	,	,1872.25	,1794.33	,1734.22	,1646.46	,1601.22	,1560.83	,1544.95	,1547.27	,1546.94	,1555.85	,1573.57	,1581.43	,1578.81	,1559.12	,
十二年一贯制学校高中阶段在校学生数 (万人) 	,	,179.24	,171.15	,160.91	,153.27	,134.88	,119.93	,105.81	,95.06	,85.57	,76.15	,69.24	,63.02	,60.47	,56.52	,
成人高中在校学生数 (万人) 	,	,	,	,	,	,5.2016	,4.1237	,4.0344	,3.9419	,4.3996	,6.5913	,14.8964	,11.0705	,14.4199	,26.4533	,
中等职业教育在校学生数 (万人) 	,1118.7676	,1229.3265	,1298.4621	,1339.2903	,1311.8146	,1663.3685	,1576.4713	,1555.2634	,1592.5000	,1599.0000	,1656.7000	,1755.3000	,1923.0000	,2113.7000	,2205.3000	,
普通中专在校学生数 (万人) 	,	,	,	,	,	,735.4168	,703.5872	,699.4205	,712.9894	,718.1209	,732.7076	,749.1366	,772.1842	,812.5608	,855.2071	,
成人中专在校学生数 (万人) 	,	,	,	,	,	,112.6747	,106.8475	,113.1250	,127.2446	,141.1680	,162.6741	,194.3596	,229.9806	,254.2747	,238.7275	,
职业高中在校学生数 (万人) 	,	,	,	,	,	,419.7464	,405.7316	,401.0825	,414.0553	,416.5715	,439.8597	,472.8165	,534.2194	,623.0465	,680.9722	,
技工学校在校学生数 (万人) 	,	,428.7064	,439.4618	,445.4467	,426.7239	,395.5306	,360.3050	,341.6000	,338.2000	,323.2000	,321.5000	,339.0000	,386.6000	,422.8000	,429.4000	,
初中阶段教育在校学生数 (万人) 	,5509.3370	,5386.1621	,5243.6916	,5120.5965	,5018.4373	,4914.0893	,4827.1362	,4652.5854	,4442.1000	,4329.4000	,4312.0000	,4384.6000	,4440.1000	,4763.1000	,5066.8000	,
普通初中在校学生数 (万人) 	,	,	,	,	,	,	,	,	,	,	,	,	,	,4763.0607	,5064.2058	,
初级中学在校学生数 (万人) 	,	,3583.36	,3510.87	,3430.56	,3343.49	,3319.62	,3300.77	,3224.95	,3121.54	,3088.24	,3103.32	,3172.00	,3234.04	,3503.22	,3769.71	,
九年一贯制学校初中阶段在校学生数 (万人) 	,	,1006.4280	,954.9400	,914.1608	,886.9279	,838.5205	,789.3721	,725.6642	,658.5126	,601.1849	,569.6085	,552.4430	,525.6281	,540.2756	,551.3859	,
十二年一贯制学校初中阶段在校学生数 (万人) 	,	,155.80	,155.52	,158.85	,169.53	,158.37	,144.76	,126.23	,107.56	,94.38	,82.71	,75.51	,66.65	,63.37	,58.63	,
完全中学初中阶段在校学生数 (万人) 	,	,630.55	,612.97	,607.31	,607.13	,597.36	,591.79	,575.54	,554.18	,545.19	,555.81	,583.90	,612.75	,654.31	,684.48	,
职业初中在校学生数 (万人) 	,	,0.0326	,0.0305	,0.0715	,0.0724	,0.2170	,0.4447	,0.2100	,0.2700	,0.4000	,0.5000	,0.8000	,1.1000	,1.9000	,2.6000	,
成人初中在校学生数 (万人) 	,	,	,	,	,	,4.8990	,10.3002	,15.4561	,12.7001	,28.0131	,33.7012	,46.2631	,48.2278	,63.0807	,54.4456	,
