数据库：年度数据 
时间：2011年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,2015年	,2014年	,2013年	,2012年	,2011年	,
研究生毕业生数 (万人) 	,116.7000	,108.3595	,101.4755	,86.2165	,77.2761	,72.8627	,63.9666	,60.4368	,57.8045	,56.3938	,55.1522	,53.5863	,51.3626	,48.6455	,42.9994	,
博士毕业生数 (万人) 	,	,9.7185	,8.7126	,8.2320	,7.2019	,6.6176	,6.2578	,6.0724	,5.8032	,5.5011	,5.3778	,5.3653	,5.3139	,5.1713	,5.0289	,
硕士毕业生数 (万人) 	,	,98.6410	,92.7629	,77.9845	,70.0742	,66.2451	,57.7088	,54.3644	,52.0013	,50.8927	,49.7744	,48.2210	,46.0487	,43.4742	,37.9705	,
普通、职业本专科毕业生数 (万人) 	,1105.0976	,1059.3802	,1047.0258	,967.2565	,826.5064	,797.1991	,758.5298	,753.3087	,735.8000	,704.2000	,680.9000	,659.4000	,638.7000	,624.7000	,608.2000	,
普通本科毕业生数 (万人) 	,	,511.9577	,489.7422	,471.5658	,428.0970	,420.5097	,394.7157	,386.8358	,384.1839	,374.3680	,358.5940	,341.3787	,319.9716	,303.8473	,279.6229	,
专科毕业生数 (万人) 	,	,540.4262	,553.2912	,494.7678	,398.4094	,376.6894	,363.8141	,366.5000	,351.6000	,329.8000	,322.3000	,318.0000	,318.7000	,320.9000	,328.5000	,
成人本专科毕业生数 (万人) 	,	,416.2146	,363.1278	,330.0668	,277.9485	,246.9562	,213.1369	,217.7408	,247.0370	,244.4650	,236.2593	,221.2329	,199.7729	,195.4357	,190.6640	,
成人本科毕业生数 (万人) 	,	,227.1197	,194.7475	,173.2128	,142.0887	,122.6385	,101.6733	,99.5851	,109.1226	,102.1846	,96.2495	,89.9050	,81.1159	,80.1015	,75.5402	,
成人专科毕业生数 (万人) 	,	,189.0949	,168.3803	,156.8540	,135.8598	,124.3177	,111.4636	,118.1557	,137.9144	,142.2804	,140.0098	,131.3279	,118.6570	,115.3342	,115.1238	,
网络本专科生毕业生数 (万人) 	,	,264.8668	,263.3542	,261.8888	,259.0593	,272.2497	,232.3128	,194.9189	,177.7905	,187.4787	,179.9757	,166.1306	,156.0762	,136.0870	,129.9253	,
网络本科毕业生数 (万人) 	,	,117.6668	,110.0611	,104.8500	,89.8773	,86.6120	,80.1508	,68.1915	,65.9559	,70.0906	,64.9086	,58.6272	,53.6702	,47.7949	,46.0149	,
网络专科毕业生数 (万人) 	,	,147.2000	,153.2931	,157.0388	,169.1820	,185.6377	,152.1620	,126.7274	,111.8346	,117.3881	,115.0671	,107.5034	,102.4060	,88.2921	,83.9104	,
中等教育毕业生数 (万人) 	,	,	,	,	,	,2815.9684	,2750.9216	,2653.2791	,2686.6428	,2785.6325	,2825.9773	,2892.8894	,3088.7540	,3202.0579	,3266.5962	,
高中阶段教育毕业生数 (万人) 	,	,1306.5438	,1275.8618	,1269.7176	,1195.7266	,1275.3535	,1286.1417	,1270.1215	,1276.5032	,1330.6142	,1371.7336	,1434.9208	,1483.8197	,1478.0256	,1470.2827	,
高中毕业生数 (万人) 	,	,	,	,	,	,790.4823	,792.6743	,782.8452	,779.6262	,796.9902	,803.8503	,811.9745	,809.3801	,803.1310	,809.9367	,
普通高中毕业生数 (万人) 	,924.6142	,890.9891	,860.4097	,824.1028	,780.2267	,786.5315	,789.2494	,779.2443	,775.7000	,792.4000	,797.7000	,799.6000	,799.0000	,791.5000	,787.7000	,
完全中学高中阶段毕业生数 (万人) 	,	,266.82	,258.42	,250.55	,239.75	,240.22	,240.91	,238.81	,237.22	,244.07	,247.42	,251.42	,255.15	,261.39	,261.88	,
高级中学毕业生数 (万人) 	,	,571.58	,553.56	,529.17	,499.87	,509.50	,515.05	,511.55	,512.54	,524.77	,528.02	,528.13	,524.29	,511.97	,508.82	,
十二年一贯制学校高中阶段毕业生数 (万人) 	,	,50.25	,46.01	,41.98	,38.23	,36.81	,33.29	,28.89	,25.97	,23.51	,22.21	,20.07	,19.54	,18.15	,17.04	,
成人高中毕业生数 (万人) 	,	,	,	,	,	,3.9508	,3.4249	,3.6009	,3.8970	,4.6402	,6.1968	,12.3556	,10.4012	,11.6264	,22.1966	,
中等职业教育毕业生数 (万人) 	,404.9162	,415.5547	,415.4521	,399.2725	,375.3709	,484.8712	,493.4674	,487.2763	,496.9000	,533.6000	,567.9000	,622.9000	,674.4000	,674.6000	,660.0000	,
普通中专毕业生数 (万人) 	,	,	,	,	,	,216.2310	,219.9648	,218.5850	,216.9933	,229.0235	,236.7455	,247.7321	,265.2082	,265.3135	,270.2302	,
成人中专毕业生数 (万人) 	,	,	,	,	,	,43.0267	,48.1851	,51.0987	,60.4125	,69.6629	,80.5105	,90.0470	,87.8323	,71.6307	,53.0942	,
职业高中毕业生数 (万人) 	,	,	,	,	,	,124.2065	,126.8928	,127.2933	,128.9923	,141.8708	,156.0094	,178.3728	,204.5182	,217.4398	,217.8008	,
技工学校毕业生数 (万人) 	,	,126.5235	,121.6656	,119.9690	,108.7036	,101.4070	,98.4247	,90.3000	,90.5000	,93.1000	,94.6000	,106.8000	,116.9000	,120.2000	,118.9000	,
初中阶段教育毕业生数 (万人) 	,1723.7395	,1698.2375	,1623.5844	,1623.9236	,1587.1485	,1535.2918	,1454.0936	,1367.7686	,1397.5000	,1423.9000	,1417.6000	,1413.5000	,1561.5000	,1660.8000	,1736.7000	,
普通初中毕业生数 (万人) 	,	,	,	,	,	,	,	,	,	,	,	,	,	,1660.8000	,1736.7000	,
初级中学毕业生数 (万人) 	,	,1128.02	,1084.60	,1093.11	,1080.72	,1063.07	,1018.63	,968.26	,997.81	,1026.04	,1029.30	,1029.62	,1155.94	,1238.29	,1309.72	,
九年一贯制学校初中阶段毕业生数 (万人) 	,	,309.1631	,286.3914	,278.2794	,262.4001	,241.7894	,217.5281	,196.6137	,191.6050	,183.9773	,175.4445	,168.1372	,176.0777	,180.1127	,179.0288	,
十二年一贯制学校初中阶段毕业生数 (万人) 	,	,55.58	,54.28	,53.47	,50.00	,45.62	,38.77	,32.79	,30.71	,28.05	,24.76	,21.99	,20.65	,19.75	,18.57	,
完全中学初中阶段毕业生数 (万人) 	,	,202.30	,194.97	,194.99	,189.57	,184.72	,179.10	,170.02	,177.25	,185.64	,187.89	,193.45	,208.16	,221.69	,228.18	,
职业初中毕业生数 (万人) 	,	,0.0133	,0.0116	,0.0299	,0.0770	,0.0907	,0.0686	,0.1000	,0.1000	,0.2000	,0.2000	,0.3000	,0.7000	,0.9000	,1.2000	,
成人初中毕业生数 (万人) 	,	,	,	,	,	,5.3231	,10.6863	,15.3890	,12.6697	,31.1504	,36.6496	,44.4559	,43.3891	,63.2572	,59.6349	,
初等教育毕业生数 (万人) 	,	,	,	,	,	,1665.3674	,1693.0561	,1688.8395	,1650.4019	,1593.2974	,1533.1734	,1588.2235	,1698.8501	,1800.7271	,1841.7800	,
普通小学毕业生数 (万人) 	,1860.5148	,1857.2667	,1763.4893	,1740.6127	,1718.0305	,1640.3201	,1647.9006	,1616.4927	,1565.9000	,1507.4000	,1437.3000	,1476.6000	,1581.1000	,1641.6000	,1662.8000	,
小学毕业生数 (万人) 	,	,1552.52	,1476.90	,1452.44	,1437.71	,1419.07	,1435.48	,1416.87	,1384.30	,1339.05	,1283.38	,1326.58	,1431.57	,1490.28	,1520.15	,
九年一贯制学校小学阶段毕业生数 (万人) 	,	,239.8214	,222.9796	,220.2222	,211.9817	,195.5019	,189.2686	,179.8155	,164.5350	,152.7985	,140.6554	,137.6765	,137.2707	,139.8080	,132.6111	,
十二年一贯制学校小学阶段毕业生数 (万人) 	,	,30.37	,28.36	,29.57	,28.18	,25.75	,23.15	,19.81	,17.06	,15.60	,13.22	,12.38	,12.22	,11.46	,10.05	,
成人小学毕业生数 (万人) 	,	,	,	,	,	,25.0473	,45.1555	,72.3468	,84.5020	,85.8508	,95.9217	,111.5955	,117.7918	,159.1706	,178.9746	,
扫盲班毕业生数 (万人) 	,	,	,	,	,	,12.2869	,16.0851	,21.0127	,28.2673	,33.1150	,44.7541	,44.1537	,50.5877	,58.5749	,81.8150	,
工读学校毕业生数 (万人) 	,	,	,	,	,	,0.4031	,0.3449	,0.2716	,0.3311	,0.3298	,0.4141	,0.3000	,0.3596	,0.3653	,0.4378	,
特殊教育毕业生数 (万人) 	,18.4220	,17.7304	,17.3140	,15.8703	,14.5899	,12.1411	,9.7587	,8.1017	,6.9000	,5.9000	,5.3000	,4.9000	,5.1000	,4.9000	,4.4000	,
学前教育毕业生数 (万人) 	,1405.7202	,1564.6081	,1804.4024	,1678.3163	,1714.7905	,1779.4338	,1765.1692	,1790.6336	,1652.7000	,1623.2000	,1590.3000	,1527.2000	,1491.7000	,1433.6000	,1184.7000	,
注：1. 2017年起，研究生招生数包含全日制和非全日制研究生，在校生数包含全日制、非全日制研究生和在职人员攻读硕士学位学生。
2. 2023年起，高中阶段教育学生数不含国家开放大学中职部。
3. 完全中学、九年一贯制学校、十二年一贯制学校和附设教学班的学生数按教育层次分别计入对应教育阶段的学生数中。
4. 特殊教育涵盖特殊教育学校、附设特教班、随班就读和送教上门等各类形式。
5. 2019年起，学前教育招生数仅包括首次入园的适龄儿童，不再包括复学、转入等情况。
数据来源：国家统计局
