指标,2025年,2024年,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,_c16
高等教育招生数 (万人),"","","","","","","","","","","","","","","",""
研究生招生数 (万人),143.8000,135.6778,130.1679,124.2479,117.6526,110.6551,91.6503,85.7966,80.6103,66.7064,64.5055,62.1323,61.1381,58.9673,56.0168,""
博士招生数 (万人),"",17.1114,15.3275,13.8951,12.5823,11.6047,10.5169,9.5502,8.3878,7.7252,7.4416,7.2634,7.0462,6.8370,6.5559,""
硕士招生数 (万人),"",118.5664,114.8404,110.3528,105.0703,99.0504,81.1334,76.2464,72.2225,58.9812,57.0639,54.8689,54.0919,52.1303,49.4609,""
普通、职业本专科招生数 (万人),1070.8000,1068.8672,"","","","","","","","","","","","","",""
普通本科招生数 (万人),"",489.9652,478.1609,467.9358,444.5969,443.1154,431.2880,422.1590,410.7534,405.4007,389.4184,383.4152,381.4331,374.0574,356.6411,""
专科招生数 (万人),"",567.9401,555.0698,538.9761,552.5801,524.3364,483.6146,368.8000,350.7000,343.2000,348.4000,338.0000,318.4000,314.8000,324.9000,""
成人本专科招生数 (万人),"",361.9101,445.4878,440.0196,378.5288,363.7630,302.2088,273.3119,217.5302,211.2290,236.7455,265.6040,256.4934,243.9551,218.5141,""
成人本科招生数 (万人),"",229.8189,270.2145,244.6444,204.2982,189.6292,150.5520,140.0380,102.3981,96.9387,101.4675,110.2409,103.8158,98.4817,89.7241,""
成人专科招生数 (万人),"",132.0912,175.2733,195.3752,174.2306,174.1338,151.6568,133.2739,115.1321,114.2903,135.2780,155.3631,152.6776,145.4734,128.7900,""
在职人员攻读博士、硕士学位招生数 (万人),"","","","","","","","","","","",16.2374,16.7576,14.0629,13.4061,""
网络本专科生招生数 (万人),"",149.9962,163.4220,280.8900,283.9192,277.9128,288.5458,320.9064,286.1143,229.6088,203.4032,206.1852,220.0729,196.4468,187.1519,""
网络本科招生数 (万人),"",61.0117,60.7030,128.9961,118.6772,107.2248,100.6897,104.4360,99.3253,84.7568,74.8660,78.1445,80.4378,69.6698,64.3993,""
网络专科招生数 (万人),"",88.9845,102.7190,151.8939,165.2420,170.6880,187.8561,216.4704,186.7890,144.8520,128.5372,128.0407,139.6351,126.7770,122.7526,""
