地区,2025年,2024年,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,_c11
四川省,0.0,226.77,216.41,205.15,192.08,180.09,166.17,156.47,149.97,144.66,0.0
湖北省,0.0,191.52,183.99,177.26,169.97,161.69,150.08,143.82,140.09,140.18,0.0
河北省,0.0,190.23,183.98,177.37,170.43,160.48,147.4,134.26,126.89,121.61,0.0
海南省,0.0,28.76,27.26,25.81,24.51,23.01,20.74,18.92,18.55,18.49,0.0
贵州省,0.0,91.12,90.72,89.47,88.16,84.02,76.57,68.75,62.77,57.39,0.0
黑龙江省,0.0,94.9,93.53,91.2,87.91,82.56,77.82,73.21,73.42,73.59,0.0
河南省,0.0,309.64,295.62,282.33,268.64,249.22,231.97,214.08,200.47,187.48,0.0
重庆市,0.0,112.79,110.02,106.61,100.27,91.56,83.49,76.28,74.69,73.25,0.0
西藏自治区,0.0,4.39,4.31,4.25,4.13,3.86,3.62,3.57,3.56,3.5,0.0
广西壮族自治区,0.0,151.55,148.32,140.75,132.1,118.42,107.64,94.22,86.67,81.03,0.0
新疆维吾尔自治区,0.0,65.63,63.3,61.14,55.56,48.67,42.7,37.49,34.6,31.99,0.0
青海省,0.0,8.66,8.28,8.09,7.71,7.41,7.32,7.03,6.7,6.19,0.0
宁夏回族自治区,0.0,18.34,17.73,17.25,16.11,14.67,13.52,12.53,12.11,11.71,0.0
湖南省,0.0,187.83,177.8,168.51,159.61,151.03,140.71,132.68,127.32,122.5,0.0
辽宁省,0.0,118.72,115.35,118.02,117.84,114.08,104.11,96.32,98.1,99.87,0.0
陕西省,0.0,132.38,131.62,130.44,128.33,121.0,112.2,105.48,106.94,107.63,0.0
广东省,0.0,268.76,260.14,267.09,253.98,240.02,205.4,196.32,192.58,189.29,0.0
浙江省,0.0,131.81,129.15,125.33,121.03,114.87,107.47,101.94,100.23,99.61,0.0
吉林省,0.0,83.71,82.15,78.87,75.56,72.7,70.01,65.83,64.39,64.23,0.0
江西省,0.0,162.26,154.63,146.44,134.87,124.2,113.5,105.44,104.83,103.9,0.0
安徽省,0.0,156.63,157.96,155.35,150.5,136.85,124.12,113.91,114.74,114.5,0.0
上海市,0.0,58.73,57.24,55.48,54.87,54.07,52.66,51.78,51.49,51.47,0.0
天津市,0.0,60.54,59.66,59.45,58.34,57.22,53.94,52.33,51.47,51.38,0.0
北京市,0.0,66.54,64.45,62.66,61.7,60.89,60.15,59.49,59.29,59.92,0.0
山东省,0.0,280.04,267.25,252.71,242.99,229.15,218.39,204.08,201.53,199.59,0.0
云南省,0.0,114.96,113.71,110.03,104.41,96.42,86.4,76.47,70.59,65.66,0.0
山西省,0.0,96.75,96.29,94.57,89.08,84.2,80.2,76.56,76.3,75.63,0.0
福建省,0.0,116.89,113.99,107.61,102.34,94.72,86.12,77.24,75.1,75.64,0.0
内蒙古自治区,0.0,55.27,54.01,53.45,50.68,48.66,47.2,45.53,44.81,43.67,0.0
江苏省,0.0,238.34,229.9,221.91,211.08,201.47,187.41,180.63,176.79,174.58,0.0
甘肃省,0.0,66.82,66.25,64.81,61.34,58.11,52.49,48.36,46.62,45.72,0.0
