地区,2025年,2024年,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,_c11
山西省,0.0,14.73,13.77,13.55,13.19,12.76,11.93,11.61,11.16,9.96,0.0
云南省,0.0,14.93,13.57,13.58,12.55,11.56,10.0,9.38,9.46,8.34,0.0
广西壮族自治区,0.0,17.44,15.78,14.45,12.79,11.69,10.55,9.57,8.74,8.07,0.0
福建省,0.0,15.29,14.51,13.72,12.46,12.4,12.13,12.05,12.08,11.08,0.0
上海市,0.0,10.31,9.77,9.79,9.13,9.1,8.44,8.45,8.52,8.55,0.0
江苏省,0.0,31.28,30.29,29.94,27.34,27.7,26.05,25.39,24.63,23.75,0.0
辽宁省,0.0,19.22,18.21,17.73,16.6,16.78,16.4,17.63,17.25,16.45,0.0
江西省,0.0,18.55,17.81,16.48,13.43,13.34,12.22,12.57,12.12,11.87,0.0
黑龙江省,0.0,14.94,14.47,14.07,13.04,12.7,12.18,12.4,12.43,12.61,0.0
浙江省,0.0,18.6,17.41,17.1,15.65,15.14,15.05,14.79,14.44,14.41,0.0
北京市,0.0,13.55,13.59,13.19,12.39,12.43,12.02,11.88,11.95,11.77,0.0
青海省,0.0,1.03,1.13,1.04,0.95,0.92,0.84,0.82,0.77,0.77,0.0
四川省,0.0,28.26,26.78,25.38,22.45,22.15,20.29,18.21,18.06,17.92,0.0
广东省,0.0,35.87,33.62,32.07,28.23,27.31,26.51,25.23,24.35,23.15,0.0
海南省,0.0,3.73,3.47,3.12,2.71,2.65,2.49,2.41,2.36,2.43,0.0
宁夏回族自治区,0.0,2.55,2.35,2.1,2.0,1.84,1.73,1.72,1.65,1.61,0.0
内蒙古自治区,0.0,7.62,7.44,6.99,6.49,6.39,5.87,5.66,5.6,5.33,0.0
吉林省,0.0,13.54,13.0,12.54,12.0,11.95,11.51,11.15,11.22,11.02,0.0
重庆市,0.0,14.57,13.49,12.32,11.18,11.1,10.69,10.26,10.17,10.47,0.0
湖北省,0.0,26.01,25.33,24.73,21.76,21.61,20.37,19.92,20.77,21.13,0.0
河南省,0.0,37.99,35.26,34.35,30.49,30.05,27.31,25.79,24.9,23.8,0.0
陕西省,0.0,20.45,18.97,18.24,17.07,16.55,15.88,16.75,17.02,18.05,0.0
山东省,0.0,34.0,32.9,30.21,27.73,27.52,24.27,23.83,24.21,23.25,0.0
甘肃省,0.0,8.9,8.39,7.96,7.03,7.07,6.8,6.94,6.84,6.86,0.0
河北省,0.0,25.06,24.32,22.56,19.82,19.15,17.35,17.0,16.83,16.15,0.0
天津市,0.0,9.27,9.15,9.08,8.54,8.48,7.8,7.63,7.76,7.64,0.0
西藏自治区,0.0,0.72,0.67,0.62,0.56,0.58,0.56,0.53,0.53,0.5,0.0
贵州省,0.0,10.69,10.46,9.94,8.72,8.29,6.49,6.66,7.12,6.01,0.0
安徽省,0.0,19.98,19.48,18.99,16.59,16.52,15.62,15.23,15.03,14.49,0.0
湖南省,0.0,21.35,20.38,19.38,17.82,17.39,16.35,16.1,15.87,15.61,0.0
新疆维吾尔自治区,0.0,6.91,6.2,5.39,4.21,3.85,3.48,3.18,3.29,2.93,0.0
