指标,2025年,2024年,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,_c16
初级中学在校学生数 (万人),0.0,3583.36,3510.87,3430.56,3343.49,3319.62,3300.77,3224.95,3121.54,3088.24,3103.32,3172.0,3234.04,3503.22,3769.71,""
完全中学高中阶段在校学生数 (万人),0.0,859.54,829.75,810.69,796.54,758.35,733.54,724.62,732.21,734.13,742.4,757.67,791.43,827.89,839.18,""
普通高中在校学生数 (万人),3039.4966,2922.2814,2803.6268,2713.8747,2605.0291,2494.4529,2414.305,2375.3709,2374.5,2366.6,2374.4,2400.5,2435.9,2467.2,2454.8,""
普通中专在校学生数 (万人),0.0,0.0,0.0,0.0,0.0,735.4168,703.5872,699.4205,712.9894,718.1209,732.7076,749.1366,772.1842,812.5608,855.2071,""
研究生在校学生数 (万人),430.0,409.5436,388.294,365.3613,333.2373,313.9598,286.3712,273.1257,263.9561,198.1051,191.1406,184.7689,179.3953,171.9818,164.5845,""
特殊教育在校学生数 (万人),92.6982,91.5948,91.1981,91.8502,91.9767,88.08,79.4612,66.5942,57.9,49.2,44.2,39.5,36.8,37.9,39.9,""
专科在校学生数 (万人),0.0,1764.6595,1707.8521,1670.8999,1590.0966,1459.5488,1280.7058,1133.7,1105.0,1082.9,1048.6,1006.6,973.6,964.2,958.9,""
技工学校在校学生数 (万人),0.0,428.7064,439.4618,445.4467,426.7239,395.5306,360.305,341.6,338.2,323.2,321.5,339.0,386.6,422.8,429.4,""
成人本专科在校学生数 (万人),0.0,942.5958,1008.2275,933.6481,832.6521,777.2942,668.5603,590.9878,544.1429,584.3883,635.9352,653.1212,626.4145,583.1123,547.4962,""
网络本科在校学生数 (万人),0.0,223.7865,289.0562,341.9642,332.8548,311.1899,294.161,282.5757,258.7338,233.927,229.4807,228.701,217.51,200.2698,175.476,""
成人小学在校学生数 (万人),0.0,0.0,0.0,0.0,0.0,25.5214,42.2333,73.2463,75.4236,83.2683,94.8158,116.4275,124.2563,164.3301,167.9173,""
硕士在校学生数 (万人),0.0,341.9174,327.0451,309.7548,282.292,267.3049,243.953,234.1739,227.7564,163.9024,158.4719,153.5013,149.567,143.6008,137.4584,""
职业高中在校学生数 (万人),0.0,0.0,0.0,0.0,0.0,419.7464,405.7316,401.0825,414.0553,416.5715,439.8597,472.8165,534.2194,623.0465,680.9722,""
博士在校学生数 (万人),0.0,67.6262,61.2489,55.6065,50.9453,46.6549,42.4182,38.9518,36.1997,34.2027,32.6687,31.2676,29.8283,28.381,27.1261,""
普通、职业本专科在校学生数 (万人),3953.9607,3891.2568,3775.0146,3659.4175,3496.1307,3285.2948,3031.5262,2831.0348,2753.6,2695.8,2625.3,2547.7,2468.1,2391.3,2308.5,""
初等教育在校学生数 (万人),0.0,0.0,0.0,0.0,0.0,10750.8746,10603.4691,10412.5004,10169.1216,9996.2809,9786.9989,9567.4926,9484.805,9860.2286,10094.2847,""
小学在校学生数 (万人),0.0,8897.18,9104.48,8989.47,8982.05,9311.02,9225.89,9098.69,8946.02,8846.85,8693.17,8526.1,8499.88,8852.76,9111.55,""
在职人员攻读博士、硕士学位在校学生数 (万人),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.6086,55.873,48.9857,46.1693,""
工读学校在校学生数 (万人),0.0,0.0,0.0,0.0,0.0,0.6012,0.6488,0.6818,0.6048,0.7181,0.792,0.8494,0.9307,1.064,0.8976,""
十二年一贯制学校小学阶段在校学生数 (万人),0.0,156.12,160.02,162.76,171.21,158.92,143.41,126.5,109.24,95.79,85.8,76.38,68.62,65.29,58.26,""
成人本科在校学生数 (万人),0.0,596.8002,600.0262,527.7598,459.1098,405.1025,341.3174,297.1134,258.9809,268.6619,279.3354,279.7917,265.4596,247.5495,233.6132,""
