地区,2025年,2024年,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,_c11
浙江省,0.0,0.0,3.6255916E7,3.4440066E7,3.1651797E7,2.8846115E7,2.734377E7,2.4009012E7,2.1327866E7,1.8908104E7,0.0
辽宁省,0.0,0.0,1.2114811E7,1.1674506E7,1.1110019E7,1.0988599E7,1.0593957E7,9759379.0,9651893.0,9206907.0,0.0
海南省,0.0,0.0,5753141.0,4833662.0,4648209.0,4632077.0,4243935.0,3777479.0,3390271.0,3068767.0,0.0
福建省,0.0,0.0,1.8398226E7,1.7625677E7,1.532023E7,1.4160989E7,1.3429131E7,1.2547951E7,1.1390975E7,1.0473975E7,0.0
重庆市,0.0,0.0,1.4137281E7,1.3146996E7,1.2761688E7,1.1823943E7,1.1442967E7,1.0216274E7,9483526.0,8863208.0,0.0
四川省,0.0,0.0,3.0262588E7,2.8294459E7,2.591256E7,2.4660021E7,2.2547121E7,2.0767987E7,1.9274514E7,1.7620946E7,0.0
陕西省,0.0,0.0,1.597121E7,1.4954384E7,1.4151375E7,1.3169806E7,1.2490355E7,1.1375081E7,1.0545862E7,1.0049114E7,0.0
甘肃省,0.0,0.0,9719100.0,9055895.0,8498438.0,8440554.0,7998741.0,7404892.0,7087547.0,6706137.0,0.0
天津市,0.0,0.0,7318083.0,6565887.0,6664572.0,6031844.0,6270839.0,6351712.0,5850624.0,5365129.0,0.0
青海省,0.0,0.0,3238552.0,3085235.0,3066904.0,2931351.0,2894894.0,2640309.0,2343469.0,2162973.0,0.0
内蒙古自治区,0.0,0.0,1.0467249E7,9230537.0,8595861.0,8510492.0,8105720.0,7759014.0,7601337.0,7624806.0,0.0
新疆维吾尔自治区,0.0,0.0,1.2772583E7,1.1612882E7,1.1146119E7,1.1029496E7,1.0214911E7,9522617.0,8462090.0,7823914.0,0.0
上海市,0.0,0.0,1.8965123E7,1.6916927E7,1.5764758E7,1.4427631E7,1.4125408E7,1.341284E7,1.2104556E7,1.1218946E7,0.0
湖北省,0.0,0.0,2.0918556E7,1.9405534E7,1.7932016E7,1.6783125E7,1.6067052E7,1.457834E7,1.3821834E7,1.3009264E7,0.0
黑龙江省,0.0,0.0,9269874.0,8806510.0,8440981.0,8422728.0,8115856.0,7612173.0,7545432.0,7336607.0,0.0
广西壮族自治区,0.0,0.0,1.801829E7,1.7038772E7,1.6448664E7,1.5418302E7,1.4367736E7,1.2836618E7,1.1891781E7,1.0914241E7,0.0
湖南省,0.0,0.0,2.3299431E7,2.2100519E7,2.0038528E7,1.8852587E7,1.7753672E7,1.6300603E7,1.516569E7,1.3781959E7,0.0
宁夏回族自治区,0.0,0.0,3330184.0,3332220.0,2838672.0,2791933.0,2532754.0,2346978.0,2288400.0,2072544.0,0.0
云南省,0.0,0.0,1.7611566E7,1.7068501E7,1.6694079E7,1.6571342E7,1.4833632E7,1.4543783E7,1.3292088E7,1.1886446E7,0.0
河南省,0.0,0.0,3.123885E7,2.9695708E7,2.767481E7,2.8022275E7,2.6685217E7,2.4293502E7,2.1546749E7,1.8902582E7,0.0
贵州省,0.0,0.0,1.6696205E7,1.580133E7,1.5080783E7,1.4479368E7,1.3622935E7,1.2732768E7,1.2488005E7,1.0335342E7,0.0
吉林省,0.0,0.0,8353251.0,7484068.0,7092031.0,7204781.0,6777422.0,6866495.0,6586685.0,6439837.0,0.0
西藏自治区,0.0,0.0,3934233.0,3643259.0,3335508.0,3164861.0,2881230.0,2562958.0,2387658.0,1857714.0,0.0
安徽省,0.0,0.0,2.1962814E7,2.0532087E7,1.8979388E7,1.7478565E7,1.6375812E7,1.5011779E7,1.3751567E7,1.2357931E7,0.0
河北省,0.0,0.0,2.536798E7,2.4395755E7,2.1927812E7,2.1282804E7,1.9921191E7,1.7389625E7,1.5938479E7,1.4203834E7,0.0
山西省,0.0,0.0,1.2916747E7,1.2125465E7,1.1140175E7,1.0071575E7,9857999.0,9134205.0,8533662.0,7942196.0,0.0
广东省,0.0,0.0,6.4768517E7,6.1902003E7,6.0188062E7,5.3869558E7,4.9187551E7,4.2684258E7,3.8610331E7,3.3675376E7,0.0
江苏省,0.0,0.0,4.0067881E7,3.8820349E7,3.7333811E7,3.3717331E7,3.1093313E7,2.8276374E7,2.5960645E7,2.4020855E7,0.0
北京市,0.0,0.0,1.6887033E7,1.5854348E7,1.5325981E7,1.5085043E7,1.479478E7,1.35254E7,1.2512746E7,1.1934724E7,0.0
江西省,0.0,0.0,2.000135E7,1.8915971E7,1.6514212E7,1.5772884E7,1.453547E7,1.3152969E7,1.1717849E7,1.0468837E7,0.0
山东省,0.0,0.0,3.8743146E7,3.7144368E7,3.4007897E7,3.1022594E7,2.900176E7,2.6349273E7,2.3946021E7,2.242297E7,0.0
