指标,2025年,2024年,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,_c16
普通小学毕业生数 (万人),1860.5148,1857.2667,1763.4893,1740.6127,1718.0305,1640.3201,1647.9006,1616.4927,1565.9,1507.4,1437.3,1476.6,1581.1,1641.6,1662.8,""
职业高中毕业生数 (万人),0.0,0.0,0.0,0.0,0.0,124.2065,126.8928,127.2933,128.9923,141.8708,156.0094,178.3728,204.5182,217.4398,217.8008,""
成人高中毕业生数 (万人),0.0,0.0,0.0,0.0,0.0,3.9508,3.4249,3.6009,3.897,4.6402,6.1968,12.3556,10.4012,11.6264,22.1966,""
小学毕业生数 (万人),0.0,1552.52,1476.9,1452.44,1437.71,1419.07,1435.48,1416.87,1384.3,1339.05,1283.38,1326.58,1431.57,1490.28,1520.15,""
普通本科毕业生数 (万人),0.0,511.9577,489.7422,471.5658,428.097,420.5097,394.7157,386.8358,384.1839,374.368,358.594,341.3787,319.9716,303.8473,279.6229,""
高中毕业生数 (万人),0.0,0.0,0.0,0.0,0.0,790.4823,792.6743,782.8452,779.6262,796.9902,803.8503,811.9745,809.3801,803.131,809.9367,""
普通初中毕业生数 (万人),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1660.8,1736.7,""
完全中学高中阶段毕业生数 (万人),0.0,266.82,258.42,250.55,239.75,240.22,240.91,238.81,237.22,244.07,247.42,251.42,255.15,261.39,261.88,""
完全中学初中阶段毕业生数 (万人),0.0,202.3,194.97,194.99,189.57,184.72,179.1,170.02,177.25,185.64,187.89,193.45,208.16,221.69,228.18,""
扫盲班毕业生数 (万人),0.0,0.0,0.0,0.0,0.0,12.2869,16.0851,21.0127,28.2673,33.115,44.7541,44.1537,50.5877,58.5749,81.815,""
成人初中毕业生数 (万人),0.0,0.0,0.0,0.0,0.0,5.3231,10.6863,15.389,12.6697,31.1504,36.6496,44.4559,43.3891,63.2572,59.6349,""
十二年一贯制学校高中阶段毕业生数 (万人),0.0,50.25,46.01,41.98,38.23,36.81,33.29,28.89,25.97,23.51,22.21,20.07,19.54,18.15,17.04,""
初等教育毕业生数 (万人),0.0,0.0,0.0,0.0,0.0,1665.3674,1693.0561,1688.8395,1650.4019,1593.2974,1533.1734,1588.2235,1698.8501,1800.7271,1841.78,""
普通中专毕业生数 (万人),0.0,0.0,0.0,0.0,0.0,216.231,219.9648,218.585,216.9933,229.0235,236.7455,247.7321,265.2082,265.3135,270.2302,""
工读学校毕业生数 (万人),0.0,0.0,0.0,0.0,0.0,0.4031,0.3449,0.2716,0.3311,0.3298,0.4141,0.3,0.3596,0.3653,0.4378,""
普通高中毕业生数 (万人),924.6142,890.9891,860.4097,824.1028,780.2267,786.5315,789.2494,779.2443,775.7,792.4,797.7,799.6,799.0,791.5,787.7,""
高级中学毕业生数 (万人),0.0,571.58,553.56,529.17,499.87,509.5,515.05,511.55,512.54,524.77,528.02,528.13,524.29,511.97,508.82,""
初级中学毕业生数 (万人),0.0,1128.02,1084.6,1093.11,1080.72,1063.07,1018.63,968.26,997.81,1026.04,1029.3,1029.62,1155.94,1238.29,1309.72,""
技工学校毕业生数 (万人),0.0,126.5235,121.6656,119.969,108.7036,101.407,98.4247,90.3,90.5,93.1,94.6,106.8,116.9,120.2,118.9,""
中等教育毕业生数 (万人),0.0,0.0,0.0,0.0,0.0,2815.9684,2750.9216,2653.2791,2686.6428,2785.6325,2825.9773,2892.8894,3088.754,3202.0579,3266.5962,""
职业初中毕业生数 (万人),0.0,0.0133,0.0116,0.0299,0.077,0.0907,0.0686,0.1,0.1,0.2,0.2,0.3,0.7,0.9,1.2,""
网络专科毕业生数 (万人),0.0,147.2,153.2931,157.0388,169.182,185.6377,152.162,126.7274,111.8346,117.3881,115.0671,107.5034,102.406,88.2921,83.9104,""
十二年一贯制学校小学阶段毕业生数 (万人),0.0,30.37,28.36,29.57,28.18,25.75,23.15,19.81,17.06,15.6,13.22,12.38,12.22,11.46,10.05,""
网络本专科生毕业生数 (万人),0.0,264.8668,263.3542,261.8888,259.0593,272.2497,232.3128,194.9189,177.7905,187.4787,179.9757,166.1306,156.0762,136.087,129.9253,""
成人专科毕业生数 (万人),0.0,189.0949,168.3803,156.854,135.8598,124.3177,111.4636,118.1557,137.9144,142.2804,140.0098,131.3279,118.657,115.3342,115.1238,""
网络本科毕业生数 (万人),0.0,117.6668,110.0611,104.85,89.8773,86.612,80.1508,68.1915,65.9559,70.0906,64.9086,58.6272,53.6702,47.7949,46.0149,""
成人本专科毕业生数 (万人),0.0,416.2146,363.1278,330.0668,277.9485,246.9562,213.1369,217.7408,247.037,244.465,236.2593,221.2329,199.7729,195.4357,190.664,""
成人中专毕业生数 (万人),0.0,0.0,0.0,0.0,0.0,43.0267,48.1851,51.0987,60.4125,69.6629,80.5105,90.047,87.8323,71.6307,53.0942,""
