地区,2025年,2024年,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,_c11
北京市,"",13.55,13.59,13.19,12.39,12.43,12.02,11.88,11.95,11.77,""
天津市,"",9.27,9.15,9.08,8.54,8.48,7.80,7.63,7.76,7.64,""
河北省,"",25.06,24.32,22.56,19.82,19.15,17.35,17.00,16.83,16.15,""
山西省,"",14.73,13.77,13.55,13.19,12.76,11.93,11.61,11.16,9.96,""
内蒙古自治区,"",7.62,7.44,6.99,6.49,6.39,5.87,5.66,5.60,5.33,""
辽宁省,"",19.22,18.21,17.73,16.60,16.78,16.40,17.63,17.25,16.45,""
吉林省,"",13.54,13.00,12.54,12.00,11.95,11.51,11.15,11.22,11.02,""
黑龙江省,"",14.94,14.47,14.07,13.04,12.70,12.18,12.40,12.43,12.61,""
上海市,"",10.31,9.77,9.79,9.13,9.10,8.44,8.45,8.52,8.55,""
江苏省,"",31.28,30.29,29.94,27.34,27.70,26.05,25.39,24.63,23.75,""
浙江省,"",18.60,17.41,17.10,15.65,15.14,15.05,14.79,14.44,14.41,""
安徽省,"",19.98,19.48,18.99,16.59,16.52,15.62,15.23,15.03,14.49,""
福建省,"",15.29,14.51,13.72,12.46,12.40,12.13,12.05,12.08,11.08,""
江西省,"",18.55,17.81,16.48,13.43,13.34,12.22,12.57,12.12,11.87,""
山东省,"",34.00,32.90,30.21,27.73,27.52,24.27,23.83,24.21,23.25,""
河南省,"",37.99,35.26,34.35,30.49,30.05,27.31,25.79,24.90,23.80,""
湖北省,"",26.01,25.33,24.73,21.76,21.61,20.37,19.92,20.77,21.13,""
湖南省,"",21.35,20.38,19.38,17.82,17.39,16.35,16.10,15.87,15.61,""
广东省,"",35.87,33.62,32.07,28.23,27.31,26.51,25.23,24.35,23.15,""
广西壮族自治区,"",17.44,15.78,14.45,12.79,11.69,10.55,9.57,8.74,8.07,""
海南省,"",3.73,3.47,3.12,2.71,2.65,2.49,2.41,2.36,2.43,""
重庆市,"",14.57,13.49,12.32,11.18,11.10,10.69,10.26,10.17,10.47,""
四川省,"",28.26,26.78,25.38,22.45,22.15,20.29,18.21,18.06,17.92,""
贵州省,"",10.69,10.46,9.94,8.72,8.29,6.49,6.66,7.12,6.01,""
云南省,"",14.93,13.57,13.58,12.55,11.56,10.00,9.38,9.46,8.34,""
西藏自治区,"",0.72,0.67,0.62,0.56,0.58,0.56,0.53,0.53,0.50,""
陕西省,"",20.45,18.97,18.24,17.07,16.55,15.88,16.75,17.02,18.05,""
甘肃省,"",8.90,8.39,7.96,7.03,7.07,6.80,6.94,6.84,6.86,""
青海省,"",1.03,1.13,1.04,0.95,0.92,0.84,0.82,0.77,0.77,""
宁夏回族自治区,"",2.55,2.35,2.10,2.00,1.84,1.73,1.72,1.65,1.61,""
新疆维吾尔自治区,"",6.91,6.20,5.39,4.21,3.85,3.48,3.18,3.29,2.93,""
