"表名","字段名","数据类型","字段类型(含长度)","允许为空","索引(主键/外键)","默认值","额外信息(自增等)"
"prediction_history","id","int","int","NO","PRI",,"auto_increment"
"prediction_history","user_id","int","int","NO","MUL",,""
"prediction_history","params","json","json","YES","",,""
"prediction_history","result","json","json","YES","",,""
"prediction_history","created_at","timestamp","timestamp","YES","","CURRENT_TIMESTAMP","DEFAULT_GENERATED"
"users","id","int","int","NO","PRI",,"auto_increment"
"users","username","varchar","varchar(50)","NO","UNI",,""
"users","password","varchar","varchar(255)","NO","",,""
"users","role","varchar","varchar(20)","NO","","user",""
"users","created_at","timestamp","timestamp","YES","","CURRENT_TIMESTAMP","DEFAULT_GENERATED"
"分省在校生数","地区","varchar","varchar(255)","YES","",,""
"分省在校生数","2025年","varchar","varchar(255)","YES","",,""
"分省在校生数","2024年","double","double","YES","",,""
"分省在校生数","2023年","double","double","YES","",,""
"分省在校生数","2022年","double","double","YES","",,""
"分省在校生数","2021年","double","double","YES","",,""
"分省在校生数","2020年","double","double","YES","",,""
"分省在校生数","2019年","double","double","YES","",,""
"分省在校生数","2018年","double","double","YES","",,""
"分省在校生数","2017年","double","double","YES","",,""
"分省在校生数","2016年","double","double","YES","",,""
"分省在校生数","_c11","varchar","varchar(255)","YES","",,""
"分省学位数","地区","varchar","varchar(255)","YES","",,""
"分省学位数","2025年","varchar","varchar(255)","YES","",,""
"分省学位数","2024年","double","double","YES","",,""
"分省学位数","2023年","double","double","YES","",,""
"分省学位数","2022年","double","double","YES","",,""
"分省学位数","2021年","double","double","YES","",,""
"分省学位数","2020年","double","double","YES","",,""
"分省学位数","2019年","double","double","YES","",,""
"分省学位数","2018年","double","double","YES","",,""
"分省学位数","2017年","double","double","YES","",,""
"分省学位数","2016年","double","double","YES","",,""
"分省学位数","_c11","varchar","varchar(255)","YES","",,""
"分省学校数","地区","varchar","varchar(255)","YES","",,""
"分省学校数","2024年","int","int","YES","",,""
"分省学校数","2023年","int","int","YES","",,""
"分省学校数","2022年","int","int","YES","",,""
"分省学校数","2021年","int","int","YES","",,""
"分省学校数","2020年","int","int","YES","",,""
"分省学校数","2019年","int","int","YES","",,""
"分省学校数","2018年","int","int","YES","",,""
"分省学校数","2017年","int","int","YES","",,""
"分省学校数","2016年","int","int","YES","",,""
"分省学校数","_c10","varchar","varchar(255)","YES","",,""
"分省招生数","地区","varchar","varchar(255)","YES","",,""
"分省招生数","2025年","varchar","varchar(255)","YES","",,""
"分省招生数","2024年","double","double","YES","",,""
"分省招生数","2023年","double","double","YES","",,""
"分省招生数","2022年","double","double","YES","",,""
"分省招生数","2021年","double","double","YES","",,""
"分省招生数","2020年","double","double","YES","",,""
"分省招生数","2019年","double","double","YES","",,""
"分省招生数","2018年","double","double","YES","",,""
"分省招生数","2017年","double","double","YES","",,""
"分省招生数","2016年","double","double","YES","",,""
"分省招生数","_c11","varchar","varchar(255)","YES","",,""
"分省毕业生数","地区","varchar","varchar(255)","YES","",,""
"分省毕业生数","2025年","varchar","varchar(255)","YES","",,""
"分省毕业生数","2024年","double","double","YES","",,""
"分省毕业生数","2023年","double","double","YES","",,""
"分省毕业生数","2022年","double","double","YES","",,""
"分省毕业生数","2021年","double","double","YES","",,""
"分省毕业生数","2020年","double","double","YES","",,""
"分省毕业生数","2019年","double","double","YES","",,""
"分省毕业生数","2018年","double","double","YES","",,""
"分省毕业生数","2017年","double","double","YES","",,""
"分省毕业生数","2016年","double","double","YES","",,""
"分省毕业生数","_c11","varchar","varchar(255)","YES","",,""
"在校生数","指标","varchar","varchar(255)","YES","",,""
"在校生数","2025年","double","double","YES","",,""
"在校生数","2024年","double","double","YES","",,""
"在校生数","2023年","double","double","YES","",,""
"在校生数","2022年","double","double","YES","",,""
"在校生数","2021年","double","double","YES","",,""
"在校生数","2020年","double","double","YES","",,""
"在校生数","2019年","double","double","YES","",,""
"在校生数","2018年","double","double","YES","",,""
"在校生数","2017年","double","double","YES","",,""
"在校生数","2016年","double","double","YES","",,""
"在校生数","2015年","double","double","YES","",,""
"在校生数","2014年","double","double","YES","",,""
"在校生数","2013年","double","double","YES","",,""
"在校生数","2012年","double","double","YES","",,""
"在校生数","2011年","double","double","YES","",,""
"在校生数","_c16","varchar","varchar(255)","YES","",,""
"招生数","指标","varchar","varchar(255)","YES","",,""
"招生数","2025年","double","double","YES","",,""
"招生数","2024年","double","double","YES","",,""
"招生数","2023年","double","double","YES","",,""
"招生数","2022年","double","double","YES","",,""
"招生数","2021年","double","double","YES","",,""
"招生数","2020年","double","double","YES","",,""
"招生数","2019年","double","double","YES","",,""
"招生数","2018年","double","double","YES","",,""
"招生数","2017年","double","double","YES","",,""
"招生数","2016年","double","double","YES","",,""
"招生数","2015年","double","double","YES","",,""
"招生数","2014年","double","double","YES","",,""
"招生数","2013年","double","double","YES","",,""
"招生数","2012年","double","double","YES","",,""
"招生数","2011年","double","double","YES","",,""
"招生数","_c16","varchar","varchar(255)","YES","",,""
"教育经费","地区","varchar","varchar(255)","YES","",,""
"教育经费","2025年","varchar","varchar(255)","YES","",,""
"教育经费","2024年","varchar","varchar(255)","YES","",,""
"教育经费","2023年","int","int","YES","",,""
"教育经费","2022年","int","int","YES","",,""
"教育经费","2021年","int","int","YES","",,""
"教育经费","2020年","int","int","YES","",,""
"教育经费","2019年","int","int","YES","",,""
"教育经费","2018年","int","int","YES","",,""
"教育经费","2017年","int","int","YES","",,""
"教育经费","2016年","int","int","YES","",,""
"教育经费","_c11","varchar","varchar(255)","YES","",,""
"毕业生数","指标","varchar","varchar(255)","YES","",,""
"毕业生数","2025年","double","double","YES","",,""
